timestamp,protocol,scheme,kem,signature,client_ip,server_ip,cond_profile,latency_ms,handshake_ms,throughput_mbps,cpu_pct,mem_mb,packet_loss_pct
2025-10-24T08:44:38-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,6.100,5.32,NA,NA,NA,0
2025-10-24T08:44:39-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.595,6.43,NA,NA,NA,0
2025-10-24T08:44:41-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.845,4.43,NA,NA,NA,0
2025-10-24T08:44:42-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.122,4.96,NA,NA,NA,0
2025-10-24T08:44:43-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,7.664,4.64,NA,NA,NA,0
2025-10-24T08:44:44-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,7.855,4.66,NA,NA,NA,0
2025-10-24T08:44:45-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.844,4.73,NA,NA,NA,0
2025-10-24T08:44:46-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.428,5.42,NA,NA,NA,0
2025-10-24T08:44:47-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.663,18.6,NA,NA,NA,0
2025-10-24T08:44:48-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.239,4.86,NA,NA,NA,0
2025-10-24T08:44:49-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,7.319,4.10,NA,NA,NA,0
2025-10-24T08:44:50-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.374,7.46,NA,NA,NA,0
2025-10-24T08:44:51-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.417,5.55,NA,NA,NA,0
2025-10-24T08:44:53-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.920,5.48,NA,NA,NA,0
2025-10-24T08:44:54-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,6.038,5.07,NA,NA,NA,0
2025-10-24T08:44:55-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.219,5.21,NA,NA,NA,0
2025-10-24T08:44:56-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.493,5.28,NA,NA,NA,0
2025-10-24T08:44:57-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.214,4.81,NA,NA,NA,0
2025-10-24T08:44:58-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.217,5.66,NA,NA,NA,0
2025-10-24T08:44:59-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.046,16.8,NA,NA,NA,0
2025-10-24T08:45:00-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.229,5.13,NA,NA,NA,0
2025-10-24T08:45:01-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.767,5.40,NA,NA,NA,0
2025-10-24T08:45:02-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.332,6.22,NA,NA,NA,0
2025-10-24T08:45:03-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.511,5.32,NA,NA,NA,0
2025-10-24T08:45:04-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.386,16.2,NA,NA,NA,0
2025-10-24T08:45:05-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.946,16.3,NA,NA,NA,0
2025-10-24T08:45:06-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.469,17.3,NA,NA,NA,0
2025-10-24T08:45:08-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.519,15.9,NA,NA,NA,0
