timestamp,algorithm,class,operation,time_ms,ops_per_sec,notes
2025-11-09T18:49:49+00:00,Ed25519,sig,verify,0.1129,8858.10,classical
2025-11-09T18:49:55+00:00,Ed25519,sig,sign,0.0415,24071.80,classical
2025-11-09T18:49:55+00:00,Ed25519,sig,verify,0.1110,9006.10,classical
2025-11-09T18:50:01+00:00,Ed25519,sig,sign,0.0439,22785.10,classical
2025-11-09T18:50:01+00:00,Ed25519,sig,verify,0.1094,9144.60,classical
2025-11-09T18:50:07+00:00,Ed25519,sig,sign,0.0405,24690.20,classical
2025-11-09T18:50:07+00:00,Ed25519,sig,verify,0.1194,8375.30,classical
2025-11-09T18:50:13+00:00,Ed25519,sig,sign,0.0459,21781.90,classical
2025-11-09T18:50:13+00:00,Ed25519,sig,verify,0.1446,6914.50,classical
2025-11-09T18:50:19+00:00,Ed25519,sig,sign,0.0476,21014.40,classical
2025-11-09T18:50:19+00:00,Ed25519,sig,verify,0.1078,9275.90,classical
2025-11-09T18:50:25+00:00,Ed25519,sig,sign,0.0400,25001.70,classical
2025-11-09T18:50:25+00:00,Ed25519,sig,verify,0.1082,9244.10,classical
2025-11-09T18:50:31+00:00,Ed25519,sig,sign,0.0411,24352.00,classical
2025-11-09T18:50:31+00:00,Ed25519,sig,verify,0.1078,9279.70,classical
2025-11-09T18:50:37+00:00,Ed25519,sig,sign,0.0394,25374.40,classical
2025-11-09T18:50:37+00:00,Ed25519,sig,verify,0.1067,9371.60,classical
2025-11-09T18:50:43+00:00,Ed25519,sig,sign,0.0397,25186.10,classical
2025-11-09T18:50:43+00:00,Ed25519,sig,verify,0.1075,9305.80,classical
2025-11-09T18:50:49+00:00,Ed25519,sig,sign,0.0401,24931.80,classical
2025-11-09T18:50:49+00:00,Ed25519,sig,verify,0.1072,9325.30,classical
2025-11-09T18:50:55+00:00,Ed25519,sig,sign,0.0394,25350.30,classical
2025-11-09T18:50:55+00:00,Ed25519,sig,verify,0.1063,9405.10,classical
2025-11-09T18:51:01+00:00,Ed25519,sig,sign,0.0395,25320.80,classical
2025-11-09T18:51:02+00:00,Ed25519,sig,verify,0.1094,9139.50,classical
2025-11-09T18:51:08+00:00,Ed25519,sig,sign,0.0396,25282.80,classical
2025-11-09T18:51:08+00:00,Ed25519,sig,verify,0.1075,9305.40,classical
2025-11-09T18:51:14+00:00,Ed25519,sig,sign,0.0394,25362.30,classical
2025-11-09T18:51:14+00:00,Ed25519,sig,verify,0.1061,9424.20,classical
2025-11-09T18:51:20+00:00,Ed25519,sig,sign,0.0394,25396.60,classical
