cond_profile,protocol,scheme,metric,value,Q1,Q3,IQR,lower_bound,upper_bound,group_mean,group_median,timestamp,ratio_to_mean
adverse,IPsec,hybrid,handshake_ms,3337.07,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T10:42:08-05:00,4.03
highlat,IPsec,classic,handshake_ms,6571.95,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:30:00-05:00,4.03
adverse,IPsec,hybrid,handshake_ms,3228.14,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T11:39:15-05:00,3.9
local,IPsec,hybrid,handshake_ms,1695.61,227.34,240.89,13.56,91.76,376.47,445.51,233.09,2025-10-26T21:40:16-05:00,3.81
highlat,IPsec,hybrid,handshake_ms,5062.57,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T20:30:36-05:00,3.54
local,WireGuard,classic,handshake_ms,19.6,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:46:26-05:00,3.32
local,WireGuard,classic,handshake_ms,19.5,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:48:53-05:00,3.3
adverse,OpenVPN,hybrid,latency_ms,1584.01,444.65,515.51,70.86,-263.96,1224.11,487.02,448.38,2025-10-25T19:33:39-05:00,3.25
highlat,IPsec,classic,handshake_ms,5215.13,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:49:53-05:00,3.2
highlat,IPsec,classic,handshake_ms,5191.28,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:54:04-05:00,3.18
highlat,IPsec,classic,handshake_ms,5187.64,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:53:29-05:00,3.18
highlat,IPsec,classic,handshake_ms,5185.75,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:33:05-05:00,3.18
highlat,IPsec,classic,handshake_ms,5163.3,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:30:21-05:00,3.17
local,WireGuard,classic,handshake_ms,18.6,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:44:47-05:00,3.15
local,WireGuard,classic,handshake_ms,18.4,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:47:59-05:00,3.12
local,IPsec,hybrid,latency_ms,13.68,4.19,4.57,0.38,0.39,8.37,4.45,4.38,2025-10-26T22:09:41-05:00,3.08
local,WireGuard,classic,handshake_ms,18.1,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:47:27-05:00,3.07
local,WireGuard,classic,handshake_ms,18.0,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:44:37-05:00,3.05
local,WireGuard,classic,handshake_ms,17.8,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:46:12-05:00,3.01
local,WireGuard,classic,handshake_ms,17.7,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:48:36-05:00,3.0
local,WireGuard,classic,handshake_ms,17.7,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:45:29-05:00,3.0
local,WireGuard,classic,handshake_ms,17.5,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:54:49-05:00,2.96
local,WireGuard,classic,handshake_ms,17.3,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:45:06-05:00,2.93
local,WireGuard,classic,handshake_ms,17.3,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:43:27-05:00,2.93
local,WireGuard,classic,handshake_ms,17.3,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:47:55-05:00,2.93
local,IPsec,hybrid,handshake_ms,1297.99,227.34,240.89,13.56,91.76,376.47,445.51,233.09,2025-10-27T00:46:03-05:00,2.91
local,WireGuard,classic,handshake_ms,17.2,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:48:35-05:00,2.91
local,WireGuard,classic,handshake_ms,17.2,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:48:58-05:00,2.91
local,WireGuard,classic,handshake_ms,17.2,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:56:25-05:00,2.91
local,WireGuard,classic,handshake_ms,17.2,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:45:30-05:00,2.91
local,WireGuard,classic,handshake_ms,17.2,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:46:25-05:00,2.91
local,WireGuard,classic,handshake_ms,17.2,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:48:41-05:00,2.91
local,WireGuard,classic,handshake_ms,17.1,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:45:57-05:00,2.9
local,WireGuard,classic,handshake_ms,17.0,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:51:27-05:00,2.88
local,WireGuard,classic,handshake_ms,17.0,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:55:00-05:00,2.88
local,WireGuard,classic,handshake_ms,17.0,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:45:40-05:00,2.88
local,WireGuard,classic,handshake_ms,16.9,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:53:25-05:00,2.86
adverse,OpenVPN,hybrid,latency_ms,1391.3,444.65,515.51,70.86,-263.96,1224.11,487.02,448.38,2025-10-25T19:52:59-05:00,2.86
local,WireGuard,classic,handshake_ms,16.8,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:44:59-05:00,2.85
local,WireGuard,classic,handshake_ms,16.8,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:52:47-05:00,2.85
adverse,OpenVPN,hybrid,latency_ms,1378.29,444.65,515.51,70.86,-263.96,1224.11,487.02,448.38,2025-10-25T19:30:34-05:00,2.83
local,WireGuard,classic,handshake_ms,16.7,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:50:11-05:00,2.83
local,WireGuard,classic,handshake_ms,16.7,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:46:11-05:00,2.83
local,WireGuard,classic,handshake_ms,16.7,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:47:26-05:00,2.83
local,WireGuard,classic,handshake_ms,16.7,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:51:06-05:00,2.83
local,IPsec,hybrid,latency_ms,12.52,4.19,4.57,0.38,0.39,8.37,4.45,4.38,2025-10-26T21:55:00-05:00,2.82
local,WireGuard,classic,handshake_ms,16.6,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:46:19-05:00,2.81
local,WireGuard,classic,handshake_ms,16.6,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:51:44-05:00,2.81
local,WireGuard,classic,handshake_ms,16.5,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:45:35-05:00,2.79
local,IPsec,hybrid,latency_ms,12.38,4.19,4.57,0.38,0.39,8.37,4.45,4.38,2025-10-27T00:31:17-05:00,2.78
highlat,OpenVPN,hybrid,latency_ms,2805.05,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T09:47:04-05:00,2.76
local,WireGuard,classic,handshake_ms,16.3,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:45:05-05:00,2.76
highlat,OpenVPN,hybrid,latency_ms,2790.94,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-25T23:34:21-05:00,2.75
local,WireGuard,classic,handshake_ms,16.2,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:44:28-05:00,2.74
local,WireGuard,classic,handshake_ms,16.2,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:48:13-05:00,2.74
local,WireGuard,classic,handshake_ms,16.2,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:47:43-05:00,2.74
local,WireGuard,classic,handshake_ms,16.2,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:45:04-05:00,2.74
local,IPsec,classic,latency_ms,12.45,4.32,4.68,0.36,0.76,8.24,4.55,4.51,2025-10-24T23:49:51-05:00,2.74
local,IPsec,classic,latency_ms,12.38,4.32,4.68,0.36,0.76,8.24,4.55,4.51,2025-10-24T23:20:35-05:00,2.72
local,WireGuard,classic,handshake_ms,15.9,4.8,5.78,0.98,-5.0,15.58,5.9,5.24,2025-10-24T08:45:08-05:00,2.69
adverse,IPsec,classic,handshake_ms,2123.58,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:00:14-05:00,2.68
local,WireGuard,classic,latency_ms,14.06,5.01,5.42,0.42,0.85,9.58,5.31,5.22,2025-10-24T08:53:15-05:00,2.65
highlat,OpenVPN,hybrid,latency_ms,2680.52,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T00:28:46-05:00,2.64
adverse,IPsec,classic,handshake_ms,2087.91,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:44:07-05:00,2.64
adverse,IPsec,classic,handshake_ms,2073.17,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:30:47-05:00,2.62
adverse,IPsec,classic,handshake_ms,2064.8,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:46:23-05:00,2.61
adverse,IPsec,classic,handshake_ms,2064.23,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:49:55-05:00,2.61
adverse,IPsec,classic,handshake_ms,2062.53,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:59:30-05:00,2.61
adverse,IPsec,classic,handshake_ms,2061.62,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:14:48-05:00,2.61
adverse,IPsec,classic,handshake_ms,2060.43,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:28:19-05:00,2.6
adverse,IPsec,classic,handshake_ms,2060.41,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:09:33-05:00,2.6
adverse,IPsec,classic,handshake_ms,2058.25,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:17:40-05:00,2.6
adverse,IPsec,classic,handshake_ms,2057.57,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:13:22-05:00,2.6
adverse,IPsec,classic,handshake_ms,2055.99,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:53:13-05:00,2.6
adverse,IPsec,classic,handshake_ms,2055.87,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:24:08-05:00,2.6
adverse,IPsec,classic,handshake_ms,2055.74,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:57:04-05:00,2.6
adverse,IPsec,classic,handshake_ms,2050.37,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:03:58-05:00,2.59
adverse,IPsec,classic,handshake_ms,2050.14,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:24:31-05:00,2.59
adverse,IPsec,classic,handshake_ms,2049.85,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:29:43-05:00,2.59
adverse,IPsec,classic,handshake_ms,2048.07,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:26:57-05:00,2.59
adverse,IPsec,classic,handshake_ms,2048.01,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:10:05-05:00,2.59
adverse,IPsec,classic,handshake_ms,2046.99,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:30:57-05:00,2.59
adverse,IPsec,classic,handshake_ms,2046.94,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:29:04-05:00,2.59
adverse,IPsec,classic,handshake_ms,2046.75,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:31:31-05:00,2.59
adverse,IPsec,classic,handshake_ms,2044.91,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:11:58-05:00,2.58
adverse,IPsec,classic,handshake_ms,2044.09,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:35:16-05:00,2.58
adverse,IPsec,classic,handshake_ms,2043.23,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:04:21-05:00,2.58
adverse,IPsec,classic,handshake_ms,2041.24,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:23:58-05:00,2.58
adverse,IPsec,classic,handshake_ms,2040.18,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:10:12-05:00,2.58
adverse,IPsec,classic,handshake_ms,2039.82,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:30:01-05:00,2.58
highlat,IPsec,hybrid,handshake_ms,3683.1,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T21:40:55-05:00,2.58
adverse,IPsec,classic,handshake_ms,2038.87,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:24:15-05:00,2.58
adverse,IPsec,classic,handshake_ms,2038.6,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:26:01-05:00,2.58
highlat,IPsec,hybrid,handshake_ms,3680.69,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T19:33:27-05:00,2.58
adverse,IPsec,classic,handshake_ms,2037.09,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:27:36-05:00,2.57
highlat,IPsec,hybrid,handshake_ms,3678.28,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T14:36:49-05:00,2.57
highlat,IPsec,hybrid,handshake_ms,3677.36,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T22:16:36-05:00,2.57
adverse,IPsec,classic,handshake_ms,2035.23,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:12:26-05:00,2.57
adverse,IPsec,classic,handshake_ms,2034.81,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:11:20-05:00,2.57
highlat,IPsec,hybrid,handshake_ms,3674.3,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T20:42:28-05:00,2.57
highlat,IPsec,hybrid,handshake_ms,3672.86,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T21:34:27-05:00,2.57
adverse,IPsec,classic,handshake_ms,2033.11,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:54:03-05:00,2.57
adverse,IPsec,classic,handshake_ms,2032.74,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:19:51-05:00,2.57
highlat,IPsec,hybrid,handshake_ms,3668.41,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T14:14:57-05:00,2.57
adverse,IPsec,classic,handshake_ms,2031.1,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:50:08-05:00,2.57
adverse,IPsec,classic,handshake_ms,2029.67,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:16:41-05:00,2.56
adverse,IPsec,classic,handshake_ms,2028.62,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:28:27-05:00,2.56
adverse,IPsec,classic,handshake_ms,2028.35,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:19:38-05:00,2.56
adverse,IPsec,classic,handshake_ms,2028.13,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:25:48-05:00,2.56
adverse,IPsec,classic,handshake_ms,2026.31,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:34:57-05:00,2.56
adverse,IPsec,classic,handshake_ms,2026.23,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:24:52-05:00,2.56
highlat,IPsec,hybrid,handshake_ms,3652.92,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T20:06:39-05:00,2.56
adverse,WireGuard,hybrid,handshake_ms,16928.32,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T17:48:48-05:00,2.55
adverse,IPsec,classic,handshake_ms,2021.24,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:13:02-05:00,2.55
adverse,IPsec,classic,handshake_ms,2020.55,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:51:47-05:00,2.55
adverse,IPsec,classic,handshake_ms,2019.1,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:31:53-05:00,2.55
adverse,IPsec,classic,handshake_ms,2018.92,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:06:44-05:00,2.55
highlat,IPsec,hybrid,handshake_ms,3645.86,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T20:33:06-05:00,2.55
adverse,IPsec,classic,handshake_ms,2018.76,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:09:04-05:00,2.55
adverse,IPsec,classic,handshake_ms,2017.78,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:05:20-05:00,2.55
adverse,IPsec,classic,handshake_ms,2016.49,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:12:40-05:00,2.55
adverse,IPsec,classic,handshake_ms,2016.11,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:30:04-05:00,2.55
adverse,IPsec,classic,handshake_ms,2015.19,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:07:24-05:00,2.55
adverse,WireGuard,hybrid,handshake_ms,16874.07,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T16:54:43-05:00,2.55
highlat,IPsec,hybrid,handshake_ms,3637.38,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T20:59:50-05:00,2.55
adverse,IPsec,classic,handshake_ms,2014.13,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:40:52-05:00,2.55
adverse,IPsec,classic,handshake_ms,2012.13,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:29:00-05:00,2.54
adverse,IPsec,classic,handshake_ms,2011.41,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:08:07-05:00,2.54
adverse,IPsec,classic,handshake_ms,2010.31,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:48:20-05:00,2.54
adverse,IPsec,classic,handshake_ms,2009.32,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:10:43-05:00,2.54
adverse,IPsec,classic,handshake_ms,2003.59,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:38:44-05:00,2.53
adverse,IPsec,classic,handshake_ms,2002.98,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:23:19-05:00,2.53
